"section"	"input"	"status"	"details"
"clause selector"	"empty_complex"	"canonical"	"FALSE"
"clause selector"	"zero"	"canonical"	"FALSE"
"clause selector"	"zero_named"	"canonical"	"FALSE"
"clause selector"	"fractional_zero"	"canonical"	"FALSE"
"clause selector"	"numeric"	"canonical"	"list(Y = \"b\", X = \"a\")"
"clause selector"	"numeric_duplicates"	"canonical"	"list(Y = \"b\", X = \"a\")"
"clause selector"	"numeric_fractional"	"canonical"	"list(X = \"a\", Y = \"b\")"
"clause selector"	"character"	"canonical"	"list(Y = \"b\", X = \"a\")"
"clause selector"	"character_duplicates"	"canonical"	"list(Y = \"b\", X = \"a\")"
"clause selector"	"named_character"	"canonical"	"list(Y = \"b\")"
"clause selector"	"named_numeric"	"canonical"	"list(X = \"a\")"
"clause selector"	"negative"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Element 1 is not >= 0
 * check_subset(i): Must be a subset of {'X','Y'}, but has different type
 * check_logical(i): Must be of type 'logical', not 'double'."
"clause selector"	"numeric_missing"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Contains missing values (element 2)
 * check_subset(i): Must be a subset of {'X','Y'}, but has different type
 * check_logical(i): Must be of type 'logical', not 'double'."
"clause selector"	"character_missing"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Must be of type 'numeric', not 'character'
 * check_subset(i): Must be a subset of {'X','Y'}, but has additional elements {'NA'}
 * check_logical(i): Must be of type 'logical', not 'character'."
"clause selector"	"infinite"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Element 1 is not <= 2
 * check_subset(i): Must be a subset of {'X','Y'}, but has different type
 * check_logical(i): Must be of type 'logical', not 'double'."
"clause selector"	"not_a_number"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Contains missing values (element 1)
 * check_subset(i): Must be a subset of {'X','Y'}, but has additional elements {'NaN'}
 * check_logical(i): Must have length 2, but has length 1."
"clause selector"	"out_of_bounds"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Element 1 is not <= 2
 * check_subset(i): Must be a subset of {'X','Y'}, but has different type
 * check_logical(i): Must be of type 'logical', not 'double'."
"clause selector"	"unknown_symbol"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Must be of type 'numeric', not 'character'
 * check_subset(i): Must be a subset of {'X','Y'}, but has additional elements {'Z'}
 * check_logical(i): Must be of type 'logical', not 'character'."
"clause selector"	"false"	"canonical"	"FALSE"
"clause selector"	"named_false"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Must be of type 'numeric', not 'logical'
 * check_subset(i): Must be a subset of {'X','Y'}, but has different type
 * check_logical(i): Must have length 2, but has length 1."
"clause selector"	"logical"	"canonical"	"list(X = \"a\")"
"clause selector"	"named_logical"	"canonical"	"list(X = \"a\")"
"clause selector"	"recycled_true"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Must be of type 'numeric', not 'logical'
 * check_subset(i): Must be a subset of {'X','Y'}, but has different type
 * check_logical(i): Must have length 2, but has length 1."
"clause selector"	"logical_missing"	"MALFORMED"	"structure(list(NULL), names = NA_character_)"
"clause selector"	"logical_missing_only"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Contains missing values (element 1)
 * check_subset(i): Must be a subset of {'X','Y'}, but has additional elements {'NA'}
 * check_logical(i): Must have length 2, but has length 1."
"clause selector"	"logical_too_long"	"rejected"	"Assertion on 'i' failed: One of the following must apply:
 * check_numeric(i): Must be of type 'numeric', not 'logical'
 * check_subset(i): Must be a subset of {'X','Y'}, but has different type
 * check_logical(i): Must have length 2, but has length 3."
"clause selector"	"logical_matrix"	"canonical"	"list(X = \"a\")"
"clause selector"	"logical_matrix_missing"	"MALFORMED"	"structure(list(NULL), names = NA_character_)"
"clause selector"	"numeric_row_duplicates"	"MALFORMED"	"list(Y = \"b\", X = \"a\", Y = \"b\")"
"clause selector"	"numeric_column_duplicates"	"canonical"	"list(Y = \"b\", X = \"a\")"
"clause selector"	"numeric_matrix_duplicates"	"MALFORMED"	"list(X = \"a\", Y = \"b\", Y = \"b\", X = \"a\")"
"clause selector"	"numeric_array_duplicates"	"MALFORMED"	"list(Y = \"b\", X = \"a\", Y = \"b\")"
"clause selector"	"character_row_duplicates"	"MALFORMED"	"list(Y = \"b\", X = \"a\", Y = \"b\")"
"clause selector"	"character_column_duplicates"	"canonical"	"list(Y = \"b\", X = \"a\")"
"clause selector"	"character_array_duplicates"	"MALFORMED"	"list(Y = \"b\", X = \"a\", Y = \"b\")"
"clause selector"	"raw"	"rejected"	"Invalid index type."
"clause selector"	"complex"	"rejected"	"Invalid index type."
"clause selector"	"factor"	"canonical"	"list(Y = \"b\", X = \"a\")"
"clause selector"	"as_is_character"	"canonical"	"list(X = \"a\", Y = \"b\")"
"clause selector"	"date"	"canonical"	"list(X = \"a\", Y = \"b\")"
"clause selector"	"list"	"rejected"	"Assertion on 'i' failed: Must be of type 'atomic', not 'list'."
"clause selector"	"expression"	"rejected"	"Assertion on 'i' failed: Must be of type 'atomic', not 'expression'."
"exhaustive selectors"	"vectors/matrices of length 1..4"	"checked"	"vector_accepted 160; vector_malformed 5; matrix_accepted 161; matrix_malformed 109"
"logical conversion"	"CnfAtom true"	"accepted"	"TRUE"
"logical conversion"	"CnfAtom false"	"accepted"	"FALSE"
"logical conversion"	"CnfAtom named_true"	"accepted"	"c(n = TRUE)"
"logical conversion"	"CnfAtom named_false"	"accepted"	"c(n = FALSE)"
"logical conversion"	"CnfAtom matrix_true"	"accepted"	"TRUE"
"logical conversion"	"CnfAtom matrix_false"	"accepted"	"FALSE"
"logical conversion"	"CnfAtom attributed_true"	"accepted"	"TRUE"
"logical conversion"	"CnfAtom as_is_false"	"rejected"	"Cannot convert object to CnfAtom."
"logical conversion"	"CnfAtom missing"	"rejected"	"Assertion on 'x' failed: May not be NA."
"logical conversion"	"CnfAtom empty"	"rejected"	"Assertion on 'x' failed: Must have length 1."
"logical conversion"	"CnfAtom longer"	"rejected"	"Assertion on 'x' failed: Must have length 1."
"logical conversion"	"CnfClause true"	"accepted"	"TRUE"
"logical conversion"	"CnfClause false"	"accepted"	"FALSE"
"logical conversion"	"CnfClause named_true"	"accepted"	"c(n = TRUE)"
"logical conversion"	"CnfClause named_false"	"accepted"	"c(n = FALSE)"
"logical conversion"	"CnfClause matrix_true"	"accepted"	"TRUE"
"logical conversion"	"CnfClause matrix_false"	"accepted"	"FALSE"
"logical conversion"	"CnfClause attributed_true"	"accepted"	"TRUE"
"logical conversion"	"CnfClause as_is_false"	"rejected"	"Cannot convert object to CnfClause."
"logical conversion"	"CnfClause missing"	"rejected"	"Assertion on 'x' failed: May not be NA."
"logical conversion"	"CnfClause empty"	"rejected"	"Assertion on 'x' failed: Must have length 1."
"logical conversion"	"CnfClause longer"	"rejected"	"Assertion on 'x' failed: Must have length 1."
"logical conversion"	"CnfFormula true"	"accepted"	"TRUE"
"logical conversion"	"CnfFormula false"	"accepted"	"FALSE"
"logical conversion"	"CnfFormula named_true"	"accepted"	"c(n = TRUE)"
"logical conversion"	"CnfFormula named_false"	"accepted"	"c(n = FALSE)"
"logical conversion"	"CnfFormula matrix_true"	"accepted"	"TRUE"
"logical conversion"	"CnfFormula matrix_false"	"accepted"	"FALSE"
"logical conversion"	"CnfFormula attributed_true"	"accepted"	"TRUE"
"logical conversion"	"CnfFormula as_is_false"	"rejected"	"Cannot convert object to CnfFormula."
"logical conversion"	"CnfFormula missing"	"rejected"	"Assertion on 'x' failed: May not be NA."
"logical conversion"	"CnfFormula empty"	"rejected"	"Assertion on 'x' failed: Must have length 1."
"logical conversion"	"CnfFormula longer"	"rejected"	"Assertion on 'x' failed: Must have length 1."
"constant selector"	"TRUE zero"	"accepted"	"FALSE"
"constant selector"	"TRUE null"	"accepted"	"FALSE"
"constant selector"	"TRUE false"	"accepted"	"FALSE"
"constant selector"	"TRUE named_false"	"rejected"	"Cannot subset a TRUE clause with anything other than 0, 1, [], or 0-length-vector."
"constant selector"	"TRUE logical_missing_only"	"rejected"	"Cannot subset a TRUE clause with anything other than 0, 1, [], or 0-length-vector."
"constant selector"	"TRUE numeric_row_duplicates"	"rejected"	"Cannot subset a TRUE clause with anything other than 0, 1, [], or 0-length-vector."
"constant selector"	"FALSE zero"	"accepted"	"FALSE"
"constant selector"	"FALSE null"	"accepted"	"FALSE"
"constant selector"	"FALSE false"	"rejected"	"Cannot subset a FALSE clause with anything other than 0, [], or 0-length-vector."
"constant selector"	"FALSE named_false"	"rejected"	"Cannot subset a FALSE clause with anything other than 0, [], or 0-length-vector."
"constant selector"	"FALSE logical_missing_only"	"rejected"	"Cannot subset a FALSE clause with anything other than 0, [], or 0-length-vector."
"constant selector"	"FALSE numeric_row_duplicates"	"rejected"	"Cannot subset a FALSE clause with anything other than 0, [], or 0-length-vector."
"logical operator"	"unnamed TRUE | clause"	"class lost"	"logical"
"logical operator"	"named TRUE | clause"	"class lost"	"logical"
"logical operator"	"matrix TRUE | clause"	"class lost"	"matrix,array"
"constant constructor"	"raw FALSE atom entry"	"rejected"	"Assertion on 'atoms' failed: May only contain the following types: {CnfAtom,CnfClause}, but element 1 has type 'logical'."
"constant constructor"	"wrapped FALSE then proper atom"	"rejected"	"All symbols must be in the same universe."
"constant constructor"	"proper atom then wrapped FALSE"	"rejected"	"All symbols must be in the same universe."
"constant constructor"	"raw TRUE clause entry"	"rejected"	"Assertion on 'clauses' failed: May only contain the following types: {CnfClause,CnfFormula}, but element 1 has type 'logical'."
"constant constructor"	"wrapped TRUE then proper clause"	"rejected"	"All clauses must be in the same universe."
"constant constructor"	"proper clause then wrapped TRUE"	"accepted"	"list(list(X = \"a\", Y = \"b\"))"
"missing selector consequence"	"logical NA"	"malformed formula accepted"	"Round trip CnfClause(as.list(bad)) becomes TRUE; no intended Boolean meaning assigned to NA symbol."
